Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
St. George,40.6449815710044,-74.07935312512797,Beso,40.64330638739738,-74.07650808873225,Tapas Restaurant
St. George,40.6449815710044,-74.07935312512797,Staten Island September 11 Memorial,40.64676748643786,-74.07650993161968,Monument / Landmark
St. George,40.6449815710044,-74.07935312512797,Richmond County Bank Ballpark,40.645055836227534,-74.07686368914352,Baseball Stadium
St. George,40.6449815710044,-74.07935312512797,A&S Pizzeria,40.64393953223924,-74.0776259226109,Pizza Place
St. George,40.6449815710044,-74.07935312512797,Shake Shack,40.64366,-74.075891,Burger Joint
St. George,40.6449815710044,-74.07935312512797,St. George Theatre,40.642253453825425,-74.0774964872446,Theater
St. George,40.6449815710044,-74.07935312512797,Enoteca Maria,40.64194106346249,-74.07732026660736,Italian Restaurant
St. George,40.6449815710044,-74.07935312512797,Hypno-Tronic Comics,40.642476023573096,-74.07658737714057,Toy / Game Store
St. George,40.6449815710044,-74.07935312512797,Marie's 2,40.642176,-74.076669,Italian Restaurant
St. George,40.6449815710044,-74.07935312512797,Ruddy & Dean,40.64407377863496,-74.07668273426954,Bar
St. George,40.6449815710044,-74.07935312512797,The Gavel Grill,40.642156612084584,-74.07667388544122,American Restaurant
St. George,40.6449815710044,-74.07935312512797,Nike,40.643615,-74.074738,Sporting Goods Shop
St. George,40.6449815710044,-74.07935312512797,St. George Greenmarket,40.642007314635734,-74.07802076119599,Farmers Market
St. George,40.6449815710044,-74.07935312512797,Nike Factory Store,40.64332580566406,-74.07459259033203,Sporting Goods Shop
St. George,40.6449815710044,-74.07935312512797,Columbia Factory Store,40.644153695495305,-74.07522879229606,Clothing Store
St. George,40.6449815710044,-74.07935312512797,Steiny's Pub,40.642185270821706,-74.07659916524223,Bar
St. George,40.6449815710044,-74.07935312512797,Banana Republic Factory,40.64423,-74.074529,Clothing Store
St. George,40.6449815710044,-74.07935312512797,Old Navy Outlet,40.64432,-74.074641,Clothing Store
St. George,40.6449815710044,-74.07935312512797,Dunkin',40.6438196,-74.0774385,Donut Shop
St. George,40.6449815710044,-74.07935312512797,Empire Outlets,40.644016666743966,-74.07495368192154,Outlet Mall
St. George,40.6449815710044,-74.07935312512797,Gap Factory Store,40.643857,-74.074975,Clothing Store
St. George,40.6449815710044,-74.07935312512797,American Eagle & Aerie Store,40.64373497010803,-74.07578845993015,Clothing Store
St. George,40.6449815710044,-74.07935312512797,H&M,40.6438032,-74.0744555,Clothing Store
St. George,40.6449815710044,-74.07935312512797,Starbucks,40.644745,-74.074488,Coffee Shop
St. George,40.6449815710044,-74.07935312512797,Walgreens,40.644757,-74.074452,Pharmacy
St. George,40.6449815710044,-74.07935312512797,Ruddy & Dean North Shore Steak Co.,40.644068463768946,-74.07668033171674,Steakhouse
St. George,40.6449815710044,-74.07935312512797,Postcards 9/11 Memorial,40.646546219541605,-74.07670307216092,Plaza
St. George,40.6449815710044,-74.07935312512797,Lt. Lia Playground,40.643432732287216,-74.07986167388087,Playground
St. George,40.6449815710044,-74.07935312512797,Buon Appetito,40.643692,-74.077957,Snack Place
St. George,40.6449815710044,-74.07935312512797,Richmond Terrace Corp Liquor,40.644093,-74.077093,Liquor Store
St. George,40.6449815710044,-74.07935312512797,John's Gourmet,40.64427103983566,-74.07690957968488,Convenience Store
St. George,40.6449815710044,-74.07935312512797,North Shore Esplanade,40.64692910628257,-74.07679796218872,Harbor / Marina
St. George,40.6449815710044,-74.07935312512797,St. George Esplanade,40.64554513232871,-74.07493747680437,Scenic Lookout
St. George,40.6449815710044,-74.07935312512797,Maritime Hospital Quarantine Cemetery,40.64159293605971,-74.07772968664675,Park
St. George,40.6449815710044,-74.07935312512797,Staten Island Visitor Information Booth,40.64463918117021,-74.07364558712177,Tourist Information Center
New Brighton,40.64061455913511,-74.08701650516625,Family Dollar,40.63871001,-74.08776705,Discount Store
New Brighton,40.64061455913511,-74.08701650516625,MTA Bus - Jersey St & Hendricks Av (S42/S52),40.64016716028059,-74.08715660960434,Bus Stop
New Brighton,40.64061455913511,-74.08701650516625,MTA Bus - Jersey St & Scribner Av (S52),40.640170246966456,-74.08718218330199,Bus Stop
New Brighton,40.64061455913511,-74.08701650516625,Hoebowl Bowling Center,40.640900988755455,-74.08509512648915,Bowling Alley
New Brighton,40.64061455913511,-74.08701650516625,New Pair Jan Chinese Restaurant,40.638615,-74.08734100000001,Chinese Restaurant
New Brighton,40.64061455913511,-74.08701650516625,Lopez  Grocery,40.638571999999996,-74.08770600000001,Deli / Bodega
New Brighton,40.64061455913511,-74.08701650516625,Bocce Courts,40.6398,-74.09,Park
New Brighton,40.64061455913511,-74.08701650516625,Skyline Playground,40.63918959570518,-74.08986747474478,Playground
New Brighton,40.64061455913511,-74.08701650516625,AK Food Deli,40.638034999999995,-74.087795,Deli / Bodega
New Brighton,40.64061455913511,-74.08701650516625,MTA Bus - Richmond Ter & Jersey St (S40/S44/S90),40.643740107722216,-74.08523149681005,Bus Stop
New Brighton,40.64061455913511,-74.08701650516625,Mahoney Park,40.64379258869993,-74.08531259080817,Park
Stapleton,40.62692762538176,-74.07790192660066,Defonte's Sandwich Shop,40.627202000000004,-74.07725699999999,Sandwich Place
Stapleton,40.62692762538176,-74.07790192660066,Lakruwana,40.62565357848064,-74.07517362940577,Sri Lankan Restaurant
Stapleton,40.62692762538176,-74.07790192660066,The Hop Shoppe,40.62903399476803,-74.07975798509347,Beer Bar
